SUM([nb_comments]+[likes])/COUNT([image_url]);Number of Records;Created Time;Filter;Image URL;latitude;Number of likes;Link;Location;longitude;number of Comments;Tags;Text;Username
367;1;30/07/2017 12:35:31 a.m.;Normal;https://scontent.cdninstagram.com/vp/fda9845c163e69899d31256a1e8b6c33/5B47AB84/t51.2885-15/s320x320/e35/20394008_1953625331575562_1118114582833922048_n.jpg;0;366;https://www.instagram.com/p/BXJpqROhTu2/;;0;1;comotúninguna,leonisafashionshow,leonisa;Alegría, fuerza, frescura y sensualidad. Todas tenemos una mezcla perfecta de factores que nos hacen únicas en el mundo. ¿Y a ti qué te hace única? #leonisa #ComoTúNinguna #LeonisaFashionShow;leonisa
346;1;29/07/2017 5:39:46 p.m.;Normal;https://scontent.cdninstagram.com/vp/4ebfcd2b0c0bc3f036ec42fe47083f52/5AB31F23/t51.2885-15/s320x320/e15/20067171_1895297314077385_2545703047066025984_n.jpg;0;346;https://www.instagram.com/p/BXI6FUNhp_Q/;;0;0;comotúninguna,leonisafashionshow,leonisa;Espontáneas y felices, así somos nosotras, mujeres únicas. #LeonisaFashionShow #ComoTúNinguna #leonisa;leonisa
772;1;28/07/2017 7:16:46 p.m.;Normal;https://scontent.cdninstagram.com/vp/a28754a7670d99011db9236db8950445/5B3E9CF6/t51.2885-15/s320x320/e35/20393923_1568466196549777_2159886985269870592_n.jpg;0;763;https://www.instagram.com/p/BXGgY29B1xr/;;0;9;comotúninguna,leonisa;No hay nada más feliz que ser fiel a ti misma y sentirte única en tu propia piel ❤️ #ComoTúNinguna #leonisa;leonisa
791;1;27/07/2017 11:55:37 p.m.;Normal;https://scontent.cdninstagram.com/vp/2bd73f04f767e804f8e3ab468bfbc817/5AB36D6D/t51.2885-15/s320x320/e15/20479035_1940545879494695_7999595662196867072_n.jpg;0;771;https://www.instagram.com/p/BXEbgRwBv9k/;;0;20;comotúninguna,leonisa;Vivimos un desfile increíble, una celebración llena de alegría, frescura y amor propio. Revive lo mejor de nuestro Fashion Show y cuéntanos qué te pareció. #leonisa #ComoTúNinguna;leonisa
788;1;27/07/2017 3:09:24 p.m.;Normal;https://scontent.cdninstagram.com/vp/5b055f02209a5ec24075430b4f4c7ea1/5B4718B5/t51.2885-15/s320x320/e35/20347017_112049242787164_8476059448316526592_n.jpg;0;778;https://www.instagram.com/p/BXDfSMjhREn/;;0;10;comotúninguna,leonisafashionshow,leonisa;Cuando sabes que eres única, siempre serás el centro de las miradas. Recuérdalo todos los días... COMO TÚ NINGUNA. #leonisa #ComoTúNinguna #LeonisaFashionShow;leonisa
1155;1;27/07/2017 1:48:21 a.m.;Normal;https://scontent.cdninstagram.com/vp/dfb297f1f7179e1d2cb3e7ce7f09022b/5B4AF75D/t51.2885-15/s320x320/e35/20393823_1907077556196859_6875259260888940544_n.jpg;0;1133;https://www.instagram.com/p/BXCDnHAhvYK/;;0;22;comotuninguna,leonisa;No te pierdas ningún detalle 👀 Te compartimos lo mejor del backstage de nuestro desfile. #comotuninguna #leonisa;leonisa
927;1;26/07/2017 5:21:51 p.m.;Normal;https://scontent.cdninstagram.com/vp/a4391ffbe54b9d86865f29a5349a3f35/5B418D7F/t51.2885-15/s320x320/e35/20225795_1106612259483268_2090152655006466048_n.jpg;0;916;https://www.instagram.com/p/BXBJpXwB9ok/;;0;11;comotuninguna,leonisafashionshow,leonisa;Sonrisas, complicidad y la mejor energía... Así vivimos nuestra pasarela, un homenaje a las mujeres, cada una de nosotras única y extraordinaria. #comotuninguna #leonisa #LeonisaFashionShow;leonisa
488;1;26/07/2017 2:01:53 p.m.;Normal;https://scontent.cdninstagram.com/vp/69cf1c668233a13e8819ff3f4c6ec7be/5B37A0B4/t51.2885-15/s320x320/e35/20393737_1178138242290317_7129765704156315648_n.jpg;0;476;https://www.instagram.com/p/BXAyw1TBo6g/;;0;12;másquebelleza,repost,cnb;"#Repost @reinadocolombia ・・・
Porque las mujeres somos únicas, con nuestros defectos y virtudes, con nuestras fortalezas y debilidades. Día a día aprendemos que somos especiales porque descubrimos lo mejor de nosotras mismas. @leonisa en su pasarela nos demostró que bellas son todas las mujeres de mi tierra. #MásQueBelleza #CNB";leonisa
298;1;25/07/2017 11:14:02 p.m.;Normal;https://scontent.cdninstagram.com/vp/9faa47639fd260eaf8ee664edab749ff/5AB36C34/t51.2885-15/s320x320/e15/20347095_1708914492747630_8443524950790242304_n.jpg;0;290;https://www.instagram.com/p/BW_NKFPBBF0/;;0;8;leonisa,comotuninguna;¡Faltan 2 horas! Viajamos a 3 ciudades para conocer mujeres auténticas y sus historias vivirán hoy en la pasarela. Te esperamos a las 7:45 p.m. en nuestro Facebook Live. #leonisa #comotuninguna;leonisa
233;1;25/07/2017 8:14:17 p.m.;Normal;https://scontent.cdninstagram.com/vp/20ce130ad7af5a6092dbf31704d7e551/5AB438D3/t51.2885-15/s320x320/e15/20225654_494609747548424_4054163589408227328_n.jpg;0;230;https://www.instagram.com/p/BW-4ld-hMh4/;;0;3;leonisa,leonisafashionshow,comotuninguna;"La belleza tiene mil formas y colores, no trates de parecerte a nadie ya eres única e irrepetible. Vive el Leonisa Fashion Show ""Como Tú Ninguna"", HOY a las 7:45 p.m. en nuestro Facebook Live. #leonisa #comotuninguna #LeonisaFashionShow";leonisa
